car_directory,cars,total,cars_70,cars_90,brand,model,year,brand_and_model,span_years,gap,cars_brand_model,cars_brand_model_70
bmw_m5_2006,114,253,112,105,bmw,m5,2006,bmw_m5,13,4,911,893
mini_cooper-d-clubman_2017,95,222,92,92,mini,cooper-d-clubman,2017,mini_cooper-d-clubman,11,0,1109,1084
daewoo_matiz_2005,55,116,54,53,daewoo,matiz,2005,daewoo_matiz,5,0,567,561
bmw_335_2011,123,231,122,118,bmw,335,2011,bmw_335,13,0,1583,1557
volkswagen_up!_2016,101,267,98,96,volkswagen,up!,2016,volkswagen_up!,7,0,636,624
land-rover_range-rover_2009,89,239,88,83,land-rover,range-rover,2009,land-rover_range-rover,18,0,1849,1800
honda_accord_2009,184,379,184,179,honda,accord,2009,honda_accord,14,1,1360,1345
mercedes-benz_slk-200_2008,113,243,108,105,mercedes-benz,slk-200,2008,mercedes-benz_slk-200,15,0,2178,2119
bmw_730_2007,104,210,104,100,bmw,730,2007,bmw_730,16,0,1569,1551
land-rover_discovery_2015,108,267,106,100,land-rover,discovery,2015,land-rover_discovery,18,0,1966,1922
volkswagen_touareg_2003,154,347,152,151,volkswagen,touareg,2003,volkswagen_touareg,16,0,1574,1553
audi_a6-allroad_2003,80,159,78,75,audi,a6-allroad,2003,audi_a6-allroad,18,0,1822,1786
kia_pro_ceed_2017,67,181,65,64,kia,proceed,2017,kia_proceed,10,0,1061,1055
subaru_forester_2016,95,258,93,93,subaru,forester,2016,subaru_forester,16,0,1566,1549
audi_s4_2017,119,307,113,110,audi,s4,2017,audi_s4,15,1,1430,1398
daewoo_kalos_2005,57,103,56,54,daewoo,kalos,2005,daewoo_kalos,3,0,317,312
land-rover_discovery_2017,86,240,85,74,land-rover,discovery,2017,land-rover_discovery,18,0,1966,1922
volkswagen_t4_2003,89,207,85,81,volkswagen,t4,2003,volkswagen_t4,4,0,349,334
suzuki_alto_2011,80,215,80,78,suzuki,alto,2011,suzuki_alto,14,2,1277,1266
mercedes-benz_glk-200_2015,107,262,106,102,mercedes-benz,glk-200,2015,mercedes-benz_glk-200,5,0,501,495
mini_cooper-d-countryman_2015,107,242,101,97,mini,cooper-d-countryman,2015,mini_cooper-d-countryman,9,0,1183,1166
ssangyong_xlv_2017,109,235,109,106,ssangyong,xlv,2017,ssangyong_xlv,2,0,191,190
bentley_continental_2007,135,266,133,121,bentley,continental,2007,bentley_continental,15,0,1830,1783
maserati_quattroporte_2013,108,284,108,107,maserati,quattroporte,2013,maserati_quattroporte,14,2,1307,1291
nissan_370z_2013,107,248,105,103,nissan,370z,2013,nissan_370z,8,0,916,907
suzuki_splash_2015,124,270,124,123,suzuki,splash,2015,suzuki_splash,8,0,876,870
skoda_fabia_2009,99,209,97,96,skoda,fabia,2009,skoda_fabia,18,0,1894,1874
mercedes-benz_b-250_2017,116,267,111,106,mercedes-benz,b-250,2017,mercedes-benz_b-250,3,0,289,278
bmw_135_2012,108,261,105,105,bmw,135,2012,bmw_135,8,2,638,624
renault_kadjar_2016,128,378,128,128,renault,kadjar,2016,renault_kadjar,4,0,546,538
hyundai_tucson_2004,109,249,108,108,hyundai,tucson,2004,hyundai_tucson,15,3,1237,1224
mercedes-benz_g-320_2008,132,279,127,114,mercedes-benz,g-320,2008,mercedes-benz_g-320,1,0,132,127
opel_vivaro_2017,111,261,109,104,opel,vivaro,2017,opel_vivaro,16,0,1726,1682
opel_corsa_2010,180,379,177,170,opel,corsa,2010,opel_corsa,18,0,2789,2761
lamborghini_aventador_2017,119,216,117,110,lamborghini,aventador,2017,lamborghini_aventador,3,0,398,383
volkswagen_passat-cc_2014,103,251,101,101,volkswagen,passat-cc,2014,volkswagen_passat-cc,8,0,798,786
volkswagen_passat_2009,94,219,92,91,volkswagen,passat,2009,volkswagen_passat,18,0,2009,1979
alfa-romeo_4c_2018,130,226,125,117,alfa-romeo,4c,2018,alfa-romeo_4c,4,0,485,470
smart_forfour_2005,91,209,90,86,smart,forfour,2005,smart_forfour,15,6,951,933
nissan_x-trail_2004,164,393,164,163,nissan,x-trail,2004,nissan_x-trail,17,0,1930,1918
opel_mokka_2012,85,211,85,83,opel,mokka,2012,opel_mokka,7,0,645,640
hyundai_ix35_2014,166,313,160,159,hyundai,ix35,2014,hyundai_ix35,7,0,814,802
dodge_caliber_2011,24,59,23,22,dodge,caliber,2011,dodge_caliber,6,0,582,572
mercedes-benz_clk-240_2005,49,109,48,46,mercedes-benz,clk-240,2005,mercedes-benz_clk-240,3,0,371,366
audi_r8_2018,96,241,93,89,audi,r8,2018,audi_r8,12,0,1448,1404
volkswagen_golf_2005,211,411,206,194,volkswagen,golf,2005,volkswagen_golf,18,0,2748,2694
fiat_ducato_2011,84,205,82,71,fiat,ducato,2011,fiat_ducato,18,0,1820,1739
bmw_525_2013,73,211,70,68,bmw,525,2013,bmw_525,18,0,1912,1883
mercedes-benz_e-200_2008,113,230,113,107,mercedes-benz,e-200,2008,mercedes-benz_e-200,18,0,2097,2062
